tat_338488	28233	CC BY 4.0
tat_5659	1924	CC BY 4.0
tat_5568	1835	CC BY 4.0
tat_2754913	165714	CC BY 4.0
tat_379409	30632	CC BY 4.0
tat_374869	29615	CC BY 4.0
tat_401105	727713	CC BY 4.0
tat_5565	1832	CC BY 4.0
tat_650601	42111	CC BY 4.0
tat_582675	40298	CC BY 4.0
tat_660797	42273	CC BY 4.0
tat_882179	46507	CC BY 4.0
tat_5409	1691	CC BY 4.0
tat_5410	1692	CC BY 4.0
tat_330507	25346	CC BY 4.0
tat_5517	1784	CC BY 4.0
tat_5566	1833	CC BY 4.0
tat_5612	1878	CC BY 4.0
tat_351203	28673	CC BY 4.0
tat_351209	28678	CC BY 4.0
tat_351210	28679	CC BY 4.0
tat_351212	28681	CC BY 4.0
tat_351211	28680	CC BY 4.0
tat_5648	1914	CC BY 4.0
tat_5592	1858	CC BY 4.0
tat_5583	1849	CC BY 4.0
tat_358165	28878	CC BY 4.0
tat_2335369	479797	CC BY 4.0
tat_366844	28995	CC BY 4.0
tat_5660	1925	CC BY 4.0
tat_381304	31197	CC BY 4.0
tat_5449	1717	CC BY 4.0
tat_389742	31721	CC BY-NC 4.0
tat_5481	1748	CC BY 4.0
tat_380004	30813	CC BY 4.0
tat_5652	1918	CC BY 4.0
tat_337429	28045	CC BY 4.0
tat_392752	31802	CC BY-NC 4.0
tat_376125	29703	CC BY 4.0
tat_329723	25301	CC BY 4.0
tat_2720840	739299	CC BY 4.0
tat_330509	25347	CC BY 4.0
tat_351799	28777	CC BY 4.0
tat_381366	31233	CC BY 4.0
tat_338491	28236	CC BY 4.0
tat_381374	31236	CC BY 4.0
tat_464804	35586	CC BY-NC 4.0
tat_381382	31237	CC BY 4.0
tat_392934	31808	CC BY-NC 4.0
tat_4549971	738431	CC BY 4.0
tat_4896581	1283317	CC BY-NC 4.0
tat_381253	31168	CC BY 4.0
tat_1722534	1234046	CC BY 4.0
tat_3965392	240598	CC BY-NC 4.0
tat_5561503	727794	CC BY 4.0
tat_5889703	738696	CC BY 4.0
tat_5962471	741729	CC BY-NC-ND 3.0
tat_1826085	739292	CC BY 4.0
tat_6091105	351639	не указана
tat_6387725	651036	CC BY 4.0
tat_3283042	687116	CC BY 4.0
tat_5579	1845	CC BY 4.0
tat_5252154	727790	CC BY 4.0
tat_381029	31092	CC BY 4.0
tat_379416	30633	CC BY 4.0
tat_351673	28754	CC BY 4.0
tat_1411749	71716	не указана
tat_329907	25315	CC BY 4.0
tat_6454821	728246	CC BY 4.0
tat_5773181	1236511	CC BY 4.0
