1789222139352	segcfg	400	300	3.0	150
1789222162742	skip_lang	pt2ru	Она будет говорить на португальском, вторая будет слушать.		0.00	4032.0	-24.7	-53.6	28.9	1789222154069	8629	0
1789222176958	asr	pt2ru	Sei quem é meu inimigo.	Я знаю, кто мой враг.	📖 корпус · без озвучки	4704.0	-33.6	-51.4	17.7	1789222160196	13925	288
1789222189215	skip_lang	pt2ru	Что ты делаешь?		0.00	3040.0	-23.1	-50.6	27.5	1789222164545	11856	0
1789222203306	asr	pt2ru	E a boxe. Comerem em excesso é ruim para a saúde.	И бокс. Переедание вредно для здоровья.	MT (2 фразы) · без озвучки	3616.0	-24.1	-50.0	25.9	1789222169922	8610	5478
1789222209515	asr	pt2ru	O inglês não é fácil para mim.	Мне трудно даётся английский.	📖 корпус · без озвучки	1984.0	-23.5	-50.0	26.4	1789222175230	6119	6
1789222215885	asr	pt2ru	Ele é famoso como médico.	Он известен как врач.	📖 корпус · без озвучки	1792.0	-24.5	-49.8	25.3	1789222180487	6240	7
1789222219619	asr	pt2ru	A cidade mudou consideravelmente durante esses dois últimos anos.	Город значительно изменился за последние годы 2.	MT · маска×1 · без озвучки	4160.0	-22.6	-49.6	27.0	1789222188087	2478	1217
1789222220528	asr	pt2ru	O quarto é vasto e claro.	Комната большая и светлая.	📖 корпус · без озвучки	1856.0	-26.4	-49.9	23.5	1789222193526	895	1
1789222220949	asr	pt2ru	O que diabos está fazendo?	Какого черта ты делаешь?	MT (2×) · без озвучки	2368.0	-28.4	-47.9	19.5	1789222199239	321	94
1789222221411	asr	pt2ru	Dizem que são inocentes.	Они говорят, что невиновны.	MT (2×) · без озвучки	3104.0	-21.1	-45.2	24.1	1789222205381	355	102
1789222221857	asr	pt2ru	Tive que esperar mais de três horas.	Мне пришлось ждать 3 больше часа.	MT · маска×1 · без озвучки	2816.0	-21.1	-44.4	23.3	1789222210142	302	138
1789222222081	asr	pt2ru	Vocês têm aula sábado?	У вас занятия в субботу?	📖 выучено · без озвучки	1568.0	-20.2	-44.0	23.8	1789222214355	216	1
1789222222371	asr	pt2ru	que você está falando.	О чем ты говоришь.	MT · без озвучки	1472.0	-22.8	-43.5	20.7	1789222219539	196	89
1789222225854	asr	pt2ru	O francês é a língua materna dela.	Французский — её родной язык.	📖 корпус · без озвучки	2656.0	-22.9	-43.3	20.3	1789222225339	512	2
1789222231598	asr	pt2ru	O velho falou comigo em francês.	Старик говорил со мной по-французски.	📖 корпус · без озвучки	2784.0	-23.5	-42.6	19.1	1789222231346	248	2
1789222236900	asr	pt2ru	Esperi por dez minutos.	Я просмотрел 10 минут.	MT · маска×1 · без озвучки	4000.0	-22.3	-42.3	20.0	1789222236149	343	406
