1789222686758	segcfg	400	300	6.0	250
1789222710072	asr	pt2ru	Sei quem é meu inimigo.	Я знаю, кто мой враг.	📖 корпус · без озвучки	2336.0	-23.6	-48.5	24.9	1789222709239	819	11
1789222715294	asr	pt2ru	Que horas começa a prova?	Во сколько начинается тест?	MT · без озвучки	2336.0	-19.8	-45.4	25.6	1789222714646	223	423
1789222719453	asr	pt2ru	Comer em excesso é ruim para a saúde.	Чрезмерное питание вредно для здоровья.	📖 корпус · без озвучки	2240.0	-19.1	-44.0	24.9	1789222719250	200	0
1789222724644	asr	pt2ru	O inglês não é fácil para mim.	Мне трудно даётся английский.	📖 корпус · без озвучки	1920.0	-18.3	-43.5	25.2	1789222724456	186	0
1789222730015	asr	pt2ru	Ele é famoso como médico.	Он известен как врач.	📖 корпус · без озвучки	1728.0	-19.6	-42.5	22.8	1789222729845	166	1
1789222737905	asr	pt2ru	A cidade mudou consideravelmente durante esses dois últimos anos.	Город значительно изменился за последние годы 2.	MT · маска×1 · без озвучки	4096.0	-18.9	-42.4	23.5	1789222737442	327	134
1789222743028	asr	pt2ru	O quarto é vasto e claro.	Комната большая и светлая.	📖 корпус · без озвучки	1824.0	-18.9	-42.3	23.4	1789222742847	179	0
1789222747803	asr	pt2ru	Que diabos está fazendo?	Какого черта ты делаешь?	📖 корпус · без озвучки	1536.0	-21.2	-42.3	21.1	1789222747647	153	1
1789222753466	asr	pt2ru	Todos dizem que são inocentes.	Все говорят, что они невиновны.	📖 выучено · без озвучки	2144.0	-18.1	-42.4	24.3	1789222753256	207	1
1789222759696	asr	pt2ru	Tive que esperar mais de três horas.	Мне пришлось ждать 3 больше часа.	MT · маска×1 · без озвучки	2272.0	-18.9	-42.6	23.7	1789222758644	478	572
1789222764249	asr	pt2ru	Vocês têm aula sábado?	У вас занятия в субботу?	📖 выучено · без озвучки	2016.0	-19.1	-42.8	23.7	1789222764062	181	4
1789222768896	asr	pt2ru	O que você está falando?	О чем ты говоришь?	MT (2×) · без озвучки	1376.0	-21.7	-42.4	20.8	1789222768663	154	78
1789222774923	asr	pt2ru	O francês é a língua materna dela.	Французский — её родной язык.	📖 корпус · без озвучки	2624.0	-21.0	-42.4	21.5	1789222774671	249	1
1789222780474	asr	pt2ru	O velho falou comigo em francês.	Старик говорил со мной по-французски.	📖 корпус · без озвучки	2560.0	-21.6	-42.7	21.1	1789222780263	207	2
1789222787339	asr	pt2ru	Esperei por dez minutos.	Я ждал 10 минут.	MT · маска×1 · без озвучки	4704.0	-23.3	-42.4	19.1	1789222786864	382	91
1789222790934	asr	pt2ru	Ela vai me matar.	Она меня убьет.	📖 корпус · без озвучки	3424.0	-19.7	-42.4	22.7	1789222790663	268	2
1789222796033	skip_lang	pt2ru	Там воды не читерять, но в плане, что она положено.		0.00	4768.0	-23.7	-42.4	18.8	1789222795669	362	0
1789222802123	asr	pt2ru	tarde para se aprender.	Поздно учиться.	MT (2×) · без озвучки	1952.0	-25.3	-41.2	16.0	1789222801870	181	70
1789222819242	skip_lang	pt2ru	Вторая сторона заполняется практически транскрипция автоматически. Одна запись вылетает. Одна запись делает три вещи. Находит, скажу, прячут его, короче, в словаре.		0.00	15008.0	-20.9	-41.2	20.3	1789222817067	2166	0
1789222821335	skip_lang	pt2ru	Фогода Чао становится половым огнем.		0.00	3616.0	-21.5	-40.9	19.5	1789222821062	271	0
